synthetic_sme_id,synthetic_manager_id,manager_enterprise_sequence,manager_sex,manager_age_band,manager_education_level,manager_urban_rural,manager_in_workforce,sme_enterprise_activity_1digit,sme_enterprise_age_band,sme_ownership_structure,sme_household_ownership_share_band,sme_workplace_type,sme_current_capital_band,sme_startup_capital_band,sme_startup_capital_source,sme_primary_buyer_type,sme_has_business_license,sme_has_commercial_registration,sme_keeps_accounting_books,sme_has_online_page_or_storefront,sme_has_mobile_sales_app,sme_share_of_sales_online_band,sme_hires_nonhousehold_workers,sme_num_nonhousehold_workers_band,sme_num_related_external_workers_band,sme_any_workers_with_social_insurance,sme_num_workers_with_social_insurance_band,sme_new_workers_joined_last12m,sme_workers_left_last12m,sme_annual_wage_bill_band,sme_annual_taxes_paid_band,sme_average_monthly_net_earnings_band
1,3,1,0,1,1,1,1,2,-1,1,-1,12,7,1,1,1,0,1,1,0,0,-1,0,0,0,0,0,0,0,0,-1,-1
2,13,1,0,5,1,1,1,7,5,1,-1,6,7,3,1,1,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,-1,2
3,15,1,0,6,1,1,0,17,3,1,-1,2,-1,4,1,1,1,0,-1,0,0,-1,1,0,0,0,0,0,0,0,-1,5
4,15,2,0,6,1,1,0,0,2,2,-1,9,6,6,1,1,0,0,1,0,0,-1,0,0,0,0,0,0,0,0,-1,3
5,15,3,0,6,1,1,0,7,6,1,-1,1,4,6,1,1,0,0,0,0,0,-1,0,2,0,0,0,0,0,0,-1,4
6,19,1,0,6,1,0,0,6,5,1,-1,9,6,6,9,1,0,0,1,0,0,-1,0,0,0,0,0,0,0,-1,-1,3
7,19,2,0,6,1,0,0,0,1,1,-1,6,3,6,1,1,0,1,1,0,0,-1,0,0,0,0,0,0,0,0,4,4
8,27,1,1,6,2,0,0,6,5,1,-1,14,4,1,18,1,0,0,0,0,0,-1,0,0,0,0,0,0,0,-1,-1,3
9,27,2,1,6,2,0,0,6,3,1,-1,5,7,2,1,1,1,0,-1,0,0,-1,0,0,0,0,0,0,0,0,-1,-1
10,34,1,1,4,1,0,1,0,4,1,-1,2,1,5,-1,1,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,-1,3
11,48,1,0,2,1,0,1,0,3,1,-1,9,7,7,1,1,0,1,0,0,0,-1,0,0,1,0,0,0,0,0,-1,2
12,50,1,1,6,1,0,0,6,5,1,-1,1,3,1,1,1,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,-1,1
13,50,2,1,6,1,0,0,2,5,1,-1,9,4,4,1,1,-1,0,0,0,0,-1,0,0,0,0,0,0,0,-1,-1,1
14,59,1,1,4,2,0,1,6,4,1,-1,3,7,3,1,1,1,0,0,0,0,-1,0,0,0,0,0,0,0,0,-1,3
15,72,1,1,5,1,1,1,0,4,1,-1,1,6,4,1,4,1,0,0,0,0,-1,0,0,0,0,0,0,0,0,-1,4
16,80,1,0,5,1,0,1,6,5,1,-1,2,7,4,3,1,-1,0,0,0,0,-1,0,0,0,0,0,0,0,0,-1,4
17,89,1,0,2,1,1,1,6,3,1,-1,11,4,-1,2,1,0,-1,0,0,0,-1,0,0,0,0,-1,0,0,0,-1,2
18,93,1,0,5,1,1,1,7,5,1,-1,13,6,4,1,1,0,-1,0,0,0,-1,0,0,0,0,0,0,0,0,-1,5
19,94,1,1,2,1,1,0,2,2,1,-1,1,-1,2,4,1,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,-1,1
20,100,1,1,6,1,1,0,18,4,1,-1,1,4,1,1,1,1,0,1,0,0,-1,0,0,0,0,0,0,0,0,-1,3
21,100,2,1,6,1,1,0,0,6,1,-1,1,4,4,3,1,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,2,2
22,100,3,1,6,1,1,0,6,3,1,-1,12,3,7,1,1,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,-1,3
23,108,1,0,2,2,1,1,5,4,1,2,6,4,7,1,11,1,0,0,0,0,-1,0,0,0,0,0,0,0,5,-1,5
24,129,1,0,6,1,0,0,6,6,1,-1,2,7,3,1,1,1,1,0,0,0,-1,0,1,0,0,0,0,0,0,-1,-1
25,131,1,0,3,4,0,1,7,3,1,-1,9,7,5,1,1,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,-1,1
26,131,2,0,3,4,0,1,6,4,1,-1,1,7,2,1,1,1,1,0,0,0,-1,0,0,0,0,-1,0,0,0,-1,4
27,132,1,1,5,1,0,1,6,4,1,-1,4,2,2,1,1,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,-1,1
28,146,1,1,6,1,1,0,6,6,1,-1,1,6,6,1,1,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,-1,4
29,146,2,1,6,1,1,0,6,4,1,-1,9,4,3,8,1,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,-1,3
30,146,3,1,6,1,1,0,8,6,1,-1,1,6,2,1,1,0,0,0,0,0,-1,1,0,0,0,0,0,0,0,3,1
31,148,1,1,3,1,1,1,18,4,1,-1,1,2,5,2,1,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,-1,1
32,152,1,1,6,1,0,0,2,4,1,-1,1,2,2,1,1,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,-1,2
33,152,2,1,6,1,0,0,2,3,1,-1,2,4,2,1,1,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,-1,1
34,152,3,1,6,1,0,0,6,5,1,-1,2,6,4,1,1,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,-1,5
35,154,1,0,3,4,0,1,12,5,1,-1,2,4,-1,1,1,0,1,1,0,1,-1,1,0,0,0,-1,0,0,0,-1,3
36,156,1,0,5,2,0,1,6,5,1,-1,3,6,7,3,1,1,1,0,0,0,-1,0,0,0,0,0,0,0,-1,-1,3
37,157,1,0,5,2,0,1,6,4,1,-1,9,4,2,1,1,0,0,0,0,0,-1,1,0,0,1,0,0,0,0,-1,3
38,166,1,1,6,1,1,0,0,4,1,-1,13,4,7,1,1,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,-1,-1
39,166,2,1,6,1,1,0,6,1,1,-1,1,4,2,1,1,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,-1,-1
40,166,3,1,6,1,1,0,6,1,1,-1,1,4,3,4,1,0,0,1,0,0,-1,0,0,0,0,0,0,0,0,-1,1
41,180,1,0,6,1,0,0,0,5,1,-1,13,7,5,1,6,1,1,0,0,0,-1,1,0,0,0,0,0,0,-1,-1,2
42,180,2,0,6,1,0,0,6,4,1,-1,13,7,6,17,1,1,-1,0,0,0,-1,0,0,0,0,0,0,0,0,-1,-1
43,180,3,0,6,1,0,0,7,-1,2,-1,11,1,1,1,1,0,1,-1,0,0,-1,0,0,0,0,0,0,0,0,2,3
44,181,1,1,6,1,1,0,2,5,1,-1,1,6,6,1,1,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,-1,1
45,181,2,1,6,1,1,0,6,5,1,-1,1,2,4,18,1,0,0,0,0,0,-1,0,0,0,0,0,0,0,-1,-1,2
46,181,3,1,6,1,1,0,6,5,1,-1,1,5,1,8,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,-1,3
47,184,1,0,6,1,1,0,18,4,1,-1,9,6,6,1,1,1,0,0,0,0,-1,0,0,0,0,0,0,0,0,-1,3
48,186,1,0,3,2,0,1,6,4,1,-1,11,6,4,2,1,0,0,1,0,0,1,0,0,0,0,-1,0,0,0,-1,2
49,197,1,1,6,1,1,0,0,6,1,-1,12,1,5,3,1,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,-1,-1
50,197,2,1,6,1,1,0,6,-1,1,-1,4,7,2,2,1,0,0,0,0,0,-1,0,0,0,0,0,0,0,-1,-1,1
51,197,3,1,6,1,1,0,6,5,1,-1,1,3,1,3,1,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,-1,-1
52,200,1,1,6,4,0,0,15,5,1,-1,14,4,3,16,6,0,-1,0,0,0,-1,0,0,0,1,0,0,0,0,-1,0
53,208,1,0,6,1,1,0,7,5,1,-1,2,7,3,1,1,1,-1,0,0,0,-1,0,0,0,0,0,0,0,-1,-1,2
54,208,2,0,6,1,1,0,6,6,1,-1,4,5,1,9,1,0,0,0,0,0,-1,1,0,0,0,0,0,0,0,-1,1
55,217,1,0,3,1,0,1,5,2,1,-1,2,6,6,3,1,1,1,1,0,0,-1,0,0,0,0,0,0,0,0,-1,5
